range_m,freq_hz,TL_db
500,4031.25,54.1220056025387
500,4062.5,54.12343601730423
500,4093.75,54.124875982847776
500,4125.0,54.12632552191705
500,4156.25,54.127784656349235
500,4187.5,54.12925340710506
500,4218.75,54.13073179430144
500,4250.0,54.132219837242644
500,4281.25,54.133717554450165
500,4312.5,54.13522496369126
500,4343.75,54.136742082006336
500,4375.0,54.13826892573514
500,4406.25,54.1398055105418
500,4437.5,54.14135185143893
500,4468.75,54.14290796281057
500,4500.0,54.144473858434324
500,4531.25,54.146049551502465
500,4562.5,54.147635054642215
500,4593.75,54.14923037993519
500,4625.0,54.15083553893606
500,4656.25,54.15245054269041
500,4687.5,54.15407540175192
500,4718.75,54.15571012619883
500,4750.0,54.157354725649746
500,4781.25,54.15900920927882
500,4812.5,54.16067358583033
500,4843.75,54.162347863632654
500,4875.0,54.16403205061173
500,4906.25,54.165726154303975
500,4937.5,54.16743018186869
500,4968.75,54.1691441401
500,5000.0,54.170868035438325
500,5031.25,54.172601873981385
500,5062.5,54.17434566149485
500,5093.75,54.176099403422484
500,5125.0,54.17786310489603
500,5156.25,54.17963677074459
500,5187.5,54.181420405503744
500,5218.75,54.18321401342431
500,5250.0,54.185017598480755
500,5281.25,54.18683116437929
500,5312.5,54.18865471456572
500,5343.75,54.190488252232946
500,5375.0,54.192331780328225
500,5406.25,54.19418530156013
500,5437.5,54.19604881840536
500,5468.75,54.19792233311514
500,5500.0,54.19980584772153
500,5531.25,54.20169936404346
500,5562.5,54.20360288369258
500,5593.75,54.2055164080788
500,5625.0,54.20743993841577
500,5656.25,54.209373475726096
500,5687.5,54.2113170208464
500,5718.75,54.21327057443216
500,5750.0,54.215234136962444
500,5781.25,54.21720770874443
500,5812.5,54.21919128991783
500,5843.75,54.22118488045909
500,5875.0,54.2231884801855
500,5906.25,54.225202088759154
500,5937.5,54.227225705690785
500,5968.75,54.22925933034342
500,6000.0,54.23130296193602
500,6031.25,54.233356599546866
500,6062.5,54.23542024211696
